Hans,py,py2
锛,bēn,ben1
本,běn,ben3
苯,běn,ben3
畚,běn,ben3
奔,bèn,ben4
笨,bèn,ben4
夯,hāng,ben4
坌,bèn,ben4
崩,bēng,beng1
绷,bèng,beng1
嘣,bēng,beng1
甭,béng,beng2
绷,bèng,beng3
绷,bèng,beng4
蹦,bèng,beng4
迸,bèng,beng4
甏,bèng,beng4
泵,bèng,beng4
蚌,bèng,beng4
逼,bī,bi1
鼻,bí,bi2
荸,bí,bi2
比,bǐ,bi3
笔,bǐ,bi3
彼,bǐ,bi3
鄙,bǐ,bi3
匕,bǐ,bi3
俾,bǐ,bi3
妣,bǐ,bi3
吡,pǐ,bi3
秕,bǐ,bi3
舭,bǐ,bi3
必,bì,bi4
毕,bì,bi4
币,bì,bi4
秘,mì,bi4
避,bì,bi4
闭,bì,bi4
壁,bì,bi4
臂,bì,bi4
弊,bì,bi4
辟,pì,bi4
碧,bì,bi4
拂,fú,bi4
毙,bì,bi4
蔽,bì,bi4
庇,bì,bi4
璧,bì,bi4
敝,bì,bi4
泌,mì,bi4
陛,bì,bi4
弼,bì,bi4
篦,bì,bi4
婢,bì,bi4
愎,bì,bi4
痹,bì,bi4
铋,bì,bi4
裨,pí,bi4
濞,bì,bi4
髀,bì,bi4
庳,bì,bi4
毖,bì,bi4
滗,bì,bi4
蓖,bì,bi4
埤,pí,bi4
芘,pí,bi4
嬖,bì,bi4
荜,bì,bi4
贲,bì,bi4
畀,bì,bi4
萆,bì,bi4
薜,bì,bi4
筚,bì,bi4
箅,bì,bi4
哔,bì,bi4
襞,bì,bi4
跸,bì,bi4
狴,bì,bi4
编,biān,bian1
边,bian,bian1
鞭,biān,bian1
砭,biān,bian1
煸,biān,bian1
蝙,biān,bian1
笾,biān,bian1
鳊,biān,bian1
贬,biǎn,bian3
扁,piān,bian3
匾,biǎn,bian3
碥,biǎn,bian3
窆,biǎn,bian3
褊,biǎn,bian3
便,pián,bian4
变,biàn,bian4
遍,biàn,bian4
辩,biàn,bian4
辨,biàn,bian4
辫,biàn,bian4
卞,biàn,bian4
苄,biàn,bian4
汴,biàn,bian4
忭,biàn,bian4
弁,biàn,bian4
缏,pián,bian4
边,bian,bian5
标,biāo,biao1
彪,biāo,biao1
勺,sháo,biao1
镖,biāo,biao1
膘,biāo,biao1
骠,piào,biao1
镳,biāo,biao1
杓,sháo,biao1
飚,biāo,biao1
飑,biāo,biao1
飙,biāo,biao1
瘭,biāo,biao1
髟,shān,biao1
表,biǎo,biao3
裱,biǎo,biao3
婊,biǎo,biao3
鳔,biào,biao4
憋,biē,bie1
瘪,biě,bie1
鳖,biē,bie1
别,biè,bie2
蹩,bié,bie2
瘪,biě,bie3
别,biè,bie4
宾,bīn,bin1
滨,bīn,bin1
彬,bīn,bin1
斌,bīn,bin1
缤,bīn,bin1
濒,bīn,bin1
槟,bīng,bin1
傧,bīn,bin1
玢,fēn,bin1
豳,bīn,bin1
镔,bīn,bin1
鬓,bìn,bin4
殡,bìn,bin4
摈,bìn,bin4
膑,bìn,bin4
髌,bìn,bin4
并,bìng,bing1
兵,bīng,bing1
冰,bīng,bing1
槟,bīng,bing1
饼,bǐng,bing3
屏,píng,bing3
丙,bǐng,bing3
柄,bǐng,bing3
秉,bǐng,bing3
炳,bǐng,bing3
禀,bǐng,bing3
邴,bǐng,bing3
并,bìng,bing4
病,bìng,bing4
摒,bìng,bing4
般,bān,bo1
波,bō,bo1
播,bō,bo1
拨,bō,bo1
剥,bō,bo1
玻,bō,bo1
饽,bō,bo1
菠,bō,bo1
钵,bō,bo1
趵,bō,bo1
百,bó,bo2
博,bó,bo2
伯,bó,bo2
勃,bó,bo2
薄,bò,bo2
泊,pō,bo2
柏,bò,bo2
驳,bó,bo2
魄,tuò,bo2
脖,bó,bo2
搏,bó,bo2
膊,bó,bo2
舶,bó,bo2
礴,bó,bo2
帛,bó,bo2
铂,bó,bo2
箔,bó,bo2
渤,bó,bo2
钹,bó,bo2
孛,bó,bo2
亳,bó,bo2
鹁,bó,bo2
踣,bó,bo2
簸,bò,bo3
跛,bǒ,bo3
薄,bò,bo4
柏,bò,bo4
簸,bò,bo4
掰,bò,bo4
擘,bò,bo4
檗,bò,bo4
卜,bǔ,bo5
啵,bo,bo5
逋,bū,bu1
晡,bū,bu1
钸,bū,bu1
不,bù,bu2
醭,bú,bu2
补,bǔ,bu3
捕,bǔ,bu3
堡,pù,bu3
卜,bǔ,bu3
哺,bǔ,bu3
卟,bǔ,bu3
不,bù,bu4
部,bù,bu4
布,bù,bu4
步,bù,bu4
怖,bù,bu4
簿,bù,bu4
埔,pǔ,bu4
埠,bù,bu4
瓿,bù,bu4
钚,bù,bu4
擦,cā,ca1
拆,chāi,ca1
嚓,chā,ca1
礤,cǎ,ca3
猜,cāi,cai1
才,cái,cai2
财,cái,cai2
材,cái,cai2
裁,cái,cai2
采,cài,cai3
彩,cǎi,cai3
踩,cǎi,cai3
睬,cǎi,cai3
采,cài,cai4
菜,cài,cai4
蔡,cài,cai4
参,shēn,can1
餐,cān,can1
骖,cān,can1
残,cán,can2
惭,cán,can2
蚕,cán,can2
惨,càn,can3
黪,cǎn,can3
惨,càn,can4
灿,càn,can4
掺,shǎn,can4
璨,càn,can4
孱,chán,can4
粲,càn,can4
苍,cāng,cang1
仓,cāng,cang1
沧,cāng,cang1
舱,cāng,cang1
伧,chên,cang1
藏,zàng,cang2
操,cāo,cao1
糙,cāo,cao1
曹,cáo,cao2
槽,cáo,cao2
嘈,cáo,cao2
漕,cáo,cao2
螬,cáo,cao2
艚,cáo,cao2
草,cǎo,cao3
策,cè,ce4
测,cè,ce4
侧,cè,ce4
厕,si,ce4
册,cè,ce4
恻,cè,ce4
参,shēn,cen1
岑,cén,cen2
涔,cén,cen2
噌,chēng,ceng1
曾,céng,ceng2
层,céng,ceng2
蹭,cèng,ceng4
差,cī,cha1
插,chā,cha1
叉,chà,cha1
碴,chá,cha1
喳,zhā,cha1
嚓,chā,cha1
杈,chà,cha1
馇,chā,cha1
锸,chā,cha1
查,chá,cha2
察,chá,cha2
茶,chá,cha2
叉,chà,cha2
茬,chá,cha2
碴,chá,cha2
楂,zhā,cha2
猹,chá,cha2
搽,chá,cha2
槎,chá,cha2
檫,chá,cha2
叉,chà,cha3
衩,chà,cha3
镲,chǎ,cha3
差,cī,cha4
刹,shā,cha4
叉,chà,cha4
诧,chà,cha4
岔,chà,cha4
衩,chà,cha4
杈,chà,cha4
汊,chà,cha4
姹,chà,cha4
差,cī,chai1
拆,chāi,chai1
钗,chāi,chai1
柴,chái,chai2
豺,chái,chai2
侪,chái,chai2
虿,chài,chai4
瘥,cuó,chai4
搀,chān,chan1
掺,shǎn,chan1
觇,chān,chan1
单,shàn,chan2
缠,chán,chan2
禅,shàn,chan2
蝉,chán,chan2
馋,chán,chan2
潺,chán,chan2
蟾,chán,chan2
婵,chán,chan2
谗,chán,chan2
廛,chán,chan2
孱,chán,chan2
镡,xín,chan2
澶,chán,chan2
躔,chán,chan2
产,chǎn,chan3
铲,chǎn,chan3
阐,chǎn,chan3
谄,chǎn,chan3
冁,chǎn,chan3
蒇,chǎn,chan3
骣,chǎn,chan3
颤,chàn,chan4
忏,chàn,chan4
羼,chàn,chan4
昌,chāng,chang1
娼,chāng,chang1
猖,chāng,chang1
伥,chāng,chang1
阊,chāng,chang1
菖,chāng,chang1
鲳,chāng,chang1
长,zhǎng,chang2
场,chǎng,chang2
常,cháng,chang2
尝,cháng,chang2
肠,cháng,chang2
偿,cháng,chang2
倘,tǎng,chang2
裳,shang,chang2
嫦,cháng,chang2
徜,cháng,chang2
苌,cháng,chang2
场,chǎng,chang3
厂,chǎng,chang3
敞,chǎng,chang3
氅,chǎng,chang3
昶,chǎng,chang3
惝,chǎng,chang3
唱,chàng,chang4
畅,chàng,chang4
倡,chàng,chang4
怅,chàng,chang4
鬯,chàng,chang4
超,chāo,chao1
抄,chāo,chao1
吵,chǎo,chao1
钞,chāo,chao1
绰,chuò,chao1
剿,jiǎo,chao1
焯,zhuō,chao1
怊,chāo,chao1
朝,zhāo,chao2
潮,cháo,chao2
嘲,zhāo,chao2
巢,cháo,chao2
晁,cháo,chao2
炒,chǎo,chao3
吵,chǎo,chao3
耖,chào,chao4
车,jū,che1
砗,chē,che1
尺,chǐ,che3
扯,chě,che3
彻,chè,che4
撤,chè,che4
澈,chè,che4
掣,chè,che4
坼,chè,che4
郴,chēn,chen1
琛,chēn,chen1
嗔,chēn,chen1
抻,chēn,chen1
陈,chén,chen2
沉,chén,chen2
晨,chén,chen2
沈,shěn,chen2
尘,chén,chen2
臣,chén,chen2
辰,chén,chen2
橙,chéng,chen2
忱,chén,chen2
谌,chén,chen2
宸,chén,chen2
碜,chěn,chen3
称,chèng,chen4
趁,chèn,chen4
衬,chèn,chen4
秤,chèng,chen4
谶,chèn,chen4
榇,chèn,chen4
龀,chèn,chen4
伧,chên,chen5
称,chèng,cheng1
撑,chēng,cheng1
秤,chèng,cheng1
瞠,chēng,cheng1
噌,chēng,cheng1
铛,dāng,cheng1
柽,chēng,cheng1
蛏,chēng,cheng1
成,chéng,cheng2
城,chéng,cheng2
程,chéng,cheng2
承,chéng,cheng2
诚,chéng,cheng2
盛,shèng,cheng2
乘,shèng,cheng2
呈,chéng,cheng2
惩,chéng,cheng2
澄,dèng,cheng2
橙,chéng,cheng2
丞,chéng,cheng2
埕,chéng,cheng2
枨,chéng,cheng2
塍,chéng,cheng2
铖,chéng,cheng2
裎,chěng,cheng2
酲,chéng,cheng2
逞,chěng,cheng3
骋,chěng,cheng3
裎,chěng,cheng3
称,chèng,cheng4
秤,chèng,cheng4
吃,chī,chi1
痴,chī,chi1
哧,chī,chi1
嗤,chī,chi1
蚩,chī,chi1
笞,chī,chi1
鸱,chī,chi1
媸,chī,chi1
螭,chī,chi1
眵,chī,chi1
魑,chī,chi1
持,chí,chi2
迟,chí,chi2
池,chí,chi2
驰,chí,chi2
匙,shi,chi2
弛,chí,chi2
踟,chí,chi2
墀,chí,chi2
茌,chí,chi2
篪,chí,chi2
坻,dǐ,chi2
尺,chǐ,chi3
齿,chǐ,chi3
耻,chǐ,chi3
侈,chǐ,chi3
褫,chǐ,chi3
豉,chǐ,chi3
赤,chì,chi4
斥,chì,chi4
翅,chì,chi4
啻,chì,chi4
炽,chì,chi4
敕,chì,chi4
叱,chì,chi4
饬,chì,chi4
傺,chì,chi4
彳,chì,chi4
瘛,chì,chi4
冲,chòng,chong1
充,chōng,chong1
涌,yǒng,chong1
憧,chōng,chong1
忡,chōng,chong1
艟,chōng,chong1
舂,chōng,chong1
茺,chōng,chong1
种,zhòng,chong2
重,zhòng,chong2
崇,chóng,chong2
虫,chóng,chong2
宠,chǒng,chong3
冲,chòng,chong4
铳,chòng,chong4
抽,chōu,chou1
瘳,chōu,chou1
愁,chóu,chou2
仇,qíu,chou2
筹,chóu,chou2
酬,chóu,chou2
绸,chóu,chou2
踌,chóu,chou2
惆,chóu,chou2
畴,chóu,chou2
稠,chóu,chou2
帱,dào,chou2
俦,chóu,chou2
雠,chóu,chou2
丑,chǒu,chou3
瞅,chǒu,chou3
臭,chòu,chou4
出,chū,chu1
初,chū,chu1
樗,chū,chu1
除,chú,chu2
厨,chú,chu2
躇,chú,chu2
橱,chú,chu2
雏,chú,chu2
锄,chú,chu2
蜍,chú,chu2
刍,chú,chu2
滁,chú,chu2
蹰,chú,chu2
处,chù,chu3
楚,chǔ,chu3
储,chǔ,chu3
础,chǔ,chu3
杵,chǔ,chu3
褚,zhǔ,chu3
楮,chǔ,chu3
处,chù,chu4
触,chù,chu4
畜,chù,chu4
矗,chù,chu4
怵,chù,chu4
搐,chù,chu4
绌,chù,chu4
黜,chù,chu4
亍,chù,chu4
憷,chù,chu4
揣,chuài,chuai1
搋,chuāi,chuai1
揣,chuài,chuai3
揣,chuài,chuai4
啜,chuò,chuai4
踹,chuài,chuai4
嘬,zuō,chuai4
膪,chuài,chuai4
穿,chuān,chuan1
川,chuān,chuan1
巛,chuān,chuan1
氚,chuān,chuan1
传,zhuàn,chuan2
船,chuán,chuan2
遄,chuán,chuan2
椽,chuán,chuan2
舡,chuán,chuan2
喘,chuǎn,chuan3
舛,chuǎn,chuan3
串,chuàn,chuan4
钏,chuàn,chuan4
创,chuàng,chuang1
窗,chuāng,chuang1
疮,chuāng,chuang1
床,chuáng,chuang2
幢,zhuàng,chuang2
闯,chuǎng,chuang3
创,chuàng,chuang4
怆,chuàng,chuang4
吹,chuī,chui1
炊,chuī,chui1
垂,chuí,chui2
锤,chuí,chui2
捶,chuí,chui2
陲,chuí,chui2
椎,zhuī,chui2
槌,chuí,chui2
棰,chuí,chui2
春,chūn,chun1
椿,chūn,chun1
蝽,chūn,chun1
纯,chún,chun2
唇,chún,chun2
醇,chún,chun2
淳,chún,chun2
鹑,chún,chun2
莼,chún,chun2
蠢,chǔn,chun3
戳,chuō,chuo1
踔,chuō,chuo1
绰,chuò,chuo4
啜,chuò,chuo4
辍,chuò,chuo4
龊,chuò,chuo4
差,cī,ci1
刺,cì,ci1
疵,cī,ci1
呲,zī,ci1
词,cí,ci2
辞,cí,ci2
慈,cí,ci2
磁,cí,ci2
瓷,cí,ci2
兹,zī,ci2
茨,cí,ci2
雌,cí,ci2
祠,cí,ci2
茈,zǐ,ci2
鹚,cí,ci2
糍,cí,ci2
此,cǐ,ci3
次,cì,ci4
刺,cì,ci4
赐,cì,ci4
伺,sì,ci4
从,cóng,cong1
匆,cōng,cong1
聪,cōng,cong1
葱,cōng,cong1
囱,cōng,cong1
苁,cōng,cong1
骢,cōng,cong1
璁,cōng,cong1
枞,zōng,cong1
从,cóng,cong2
丛,cóng,cong2
琮,cóng,cong2
淙,cóng,cong2
凑,còu,cou4
楱,còu,cou4
辏,còu,cou4
腠,còu,cou4
粗,cū,cu1
徂,cú,cu2
殂,cú,cu2
促,cù,cu4
簇,cù,cu4
醋,cù,cu4
卒,zú,cu4
猝,cù,cu4
蹴,cù,cu4
蹙,cù,cu4
蔟,cù,cu4
酢,zuò,cu4
蹿,cuān,cuan1
撺,cuān,cuan1
汆,cuān,cuan1
镩,cuān,cuan1
攒,zǎn,cuan2
窜,cuàn,cuan4
篡,cuàn,cuan4
爨,cuàn,cuan4
衰,shuāi,cui1
催,cuī,cui1
摧,cuī,cui1
崔,cuī,cui1
隹,zhuī,cui1
榱,cuī,cui1
璀,cuǐ,cui3
脆,cuì,cui4
粹,cuì,cui4
萃,cuì,cui4
翠,cuì,cui4
瘁,cuì,cui4
悴,cuì,cui4
淬,cuì,cui4
毳,cuì,cui4
啐,cuì,cui4
村,cūn,cun1
皴,cūn,cun1
存,cún,cun2
蹲,dūn,cun2
忖,cǔn,cun3
寸,cùn,cun4
搓,cuō,cuo1
撮,zuǒ,cuo1
磋,cuō,cuo1
蹉,cuō,cuo1
嵯,cuó,cuo2
矬,cuó,cuo2
痤,cuó,cuo2
瘥,cuó,cuo2
鹾,cuó,cuo2
撮,zuǒ,cuo3
脞,cuǒ,cuo3
错,cuò,cuo4
措,cuò,cuo4
挫,cuò,cuo4
厝,cuò,cuo4
锉,cuò,cuo4
答,dá,da1
搭,dā,da1
嗒,tà,da1
耷,dā,da1
褡,dā,da1
哒,dā,da1
打,dǎ,da2
达,dá,da2
答,dá,da2
瘩,dá,da2
沓,tà,da2
鞑,dá,da2
怛,dá,da2
笪,dá,da2
靼,dá,da2
妲,dá,da2
打,dǎ,da3
大,dài,da4
塔,tǎ,da5
疸,dǎn,da5
待,dài,dai1
呆,dāi,dai1
呔,tǎi,dai1
逮,dài,dai3
歹,dǎi,dai3
傣,dǎi,dai3
大,dài,dai4
代,dài,dai4
带,dài,dai4
待,dài,dai4
戴,dài,dai4
袋,dài,dai4
贷,dài,dai4
逮,dài,dai4
殆,dài,dai4
黛,dài,dai4
怠,dài,dai4
玳,dài,dai4
岱,dài,dai4
迨,dài,dai4
骀,tái,dai4
绐,dài,dai4
埭,dài,dai4
甙,dài,dai4
单,shàn,dan1
担,dàn,dan1
丹,dān,dan1
耽,dān,dan1
眈,dān,dan1
殚,dān,dan1
箪,dān,dan1
儋,dān,dan1
瘅,dàn,dan1
聃,dān,dan1
郸,dān,dan1
担,dàn,dan3
胆,dǎn,dan3
掸,shàn,dan3
赕,dǎn,dan3
疸,dǎn,dan3
瘅,dàn,dan3
但,dàn,dan4
担,dàn,dan4
石,shí,dan4
弹,tán,dan4
淡,dàn,dan4
旦,dàn,dan4
蛋,dàn,dan4
诞,dàn,dan4
惮,dàn,dan4
啖,dàn,dan4
澹,tán,dan4
氮,dàn,dan4
萏,dàn,dan4
瘅,dàn,dan4
当,dàng,dang1
裆,dāng,dang1
铛,dāng,dang1
党,dǎng,dang3
挡,dàng,dang3
谠,dǎng,dang3
当,dàng,dang4
荡,dàng,dang4
档,dàng,dang4
挡,dàng,dang4
宕,dàng,dang4
菪,dàng,dang4
凼,dàng,dang4
砀,dàng,dang4
刀,dāo,dao1
叨,tāo,dao1
忉,dāo,dao1
氘,dāo,dao1
叨,tāo,dao2
导,dǎo,dao3
倒,dào,dao3
岛,dǎo,dao3
蹈,dǎo,dao3
捣,dǎo,dao3
祷,dǎo,dao3
到,dào,dao4
道,dào,dao4
倒,dào,dao4
悼,dào,dao4
盗,dào,dao4
稻,dào,dao4
焘,tāo,dao4
帱,dào,dao4
纛,dào,dao4
得,děi,de2
德,dé,de2
锝,dé,de2
的,dê,de5
地,dì,de5
得,děi,de5
底,dǐ,de5
得,děi,dei3
登,dēng,deng1
灯,dēng,deng1
蹬,dèng,deng1
噔,dēng,deng1
簦,dēng,deng1
等,děng,deng3
戥,děng,deng3
邓,dèng,deng4
凳,dèng,deng4
瞪,dèng,deng4
澄,dèng,deng4
蹬,dèng,deng4
磴,dèng,deng4
镫,dèng,deng4
嶝,dèng,deng4
提,tí,di1
低,dī,di1
滴,dī,di1
堤,dī,di1
嘀,dí,di1
氐,dǐ,di1
镝,dí,di1
羝,dī,di1
的,dê,di2
敌,dí,di2
迪,dí,di2
笛,dí,di2
涤,dí,di2
嘀,dí,di2
狄,dí,di2
嫡,dí,di2
翟,zhái,di2
荻,dí,di2
籴,dí,di2
觌,dí,di2
镝,dí,di2
底,dǐ,di3
抵,dǐ,di3
诋,dǐ,di3
邸,dǐ,di3
砥,dǐ,di3
坻,dǐ,di3
柢,dǐ,di3
氐,dǐ,di3
骶,dǐ,di3
的,dê,di4
地,dì,di4
第,dì,di4
帝,dì,di4
弟,dì,di4
递,dì,di4
蒂,dì,di4
缔,dì,di4
谛,dì,di4
睇,dì,di4
棣,dì,di4
娣,dì,di4
碲,dì,di4
绨,tì,di4
嗲,diǎ,dia3
颠,diān,dian1
滇,diān,dian1
掂,diān,dian1
癫,diān,dian1
巅,diān,dian1
点,diǎn,dian3
典,diǎn,dian3
碘,diǎn,dian3
踮,diē,dian3
丶,diǎn,dian3
电,diàn,dian4
店,diàn,dian4
甸,diàn,dian4
淀,diàn,dian4
垫,diàn,dian4
殿,diàn,dian4
奠,diàn,dian4
惦,diàn,dian4
佃,tián,dian4
玷,diàn,dian4
簟,diàn,dian4
坫,diàn,dian4
靛,diàn,dian4
钿,tián,dian4
癜,diàn,dian4
阽,yán,dian4
雕,diāo,diao1
刁,diāo,diao1
凋,diāo,diao1
叼,diāo,diao1
貂,diāo,diao1
碉,diāo,diao1
鲷,diāo,diao1
鸟,niǎo,diao3
调,tiáo,diao4
掉,diào,diao4
吊,diào,diao4
钓,diào,diao4
铫,yáo,diao4
铞,diào,diao4
爹,diē,die1
跌,diē,die1
踮,diē,die1
叠,dié,die2
迭,dié,die2
碟,dié,die2
谍,dié,die2
蝶,dié,die2
喋,zhá,die2
佚,yì,die2
牒,dié,die2
耋,dié,die2
蹀,dié,die2
堞,dié,die2
瓞,dié,die2
揲,dié,die2
垤,dié,die2
鲽,dié,die2
丁,dīng,ding1
盯,dīng,ding1
钉,dìng,ding1
叮,dīng,ding1
町,tǐng,ding1
酊,dǐng,ding1
疔,dīng,ding1
仃,dīng,ding1
耵,dīng,ding1
玎,dīng,ding1
顶,dǐng,ding3
鼎,dǐng,ding3
酊,dǐng,ding3
定,dìng,ding4
订,dìng,ding4
钉,dìng,ding4
铤,tǐng,ding4
腚,dìng,ding4
锭,dìng,ding4
碇,dìng,ding4
啶,dìng,ding4
丢,dīu,diu1
铥,dīu,diu1
东,dōng,dong1
冬,dōng,dong1
咚,dōng,dong1
岽,dōng,dong1
氡,dōng,dong1
鸫,dōng,dong1
懂,dǒng,dong3
董,dǒng,dong3
硐,dòng,dong3
动,dòng,dong4
洞,dòng,dong4
冻,dòng,dong4
栋,dòng,dong4
恫,tōng,dong4
侗,tǒng,dong4
垌,tóng,dong4
峒,tóng,dong4
胨,dòng,dong4
胴,dòng,dong4
硐,dòng,dong4
都,dū,dou1
兜,dōu,dou1
蔸,dōu,dou1
篼,dōu,dou1
斗,dòu,dou3
抖,dǒu,dou3
陡,dǒu,dou3
蚪,dǒu,dou3
读,dú,dou4
斗,dòu,dou4
豆,dòu,dou4
逗,dòu,dou4
窦,dòu,dou4
痘,dòu,dou4
都,dū,du1
督,dū,du1
嘟,dū,du1
读,dú,du2
独,dú,du2
顿,dùn,du2
毒,dú,du2
渎,dú,du2
牍,dú,du2
犊,dú,du2
黩,dú,du2
髑,dú,du2
椟,dú,du2
肚,dù,du3
睹,dǔ,du3
堵,dǔ,du3
赌,dǔ,du3
笃,dǔ,du3
度,duó,du4
渡,dù,du4
肚,dù,du4
杜,dù,du4
妒,dù,du4
镀,dù,du4
芏,dù,du4
蠹,dù,du4
端,duān,duan1
短,duǎn,duan3
断,duàn,duan4
段,duàn,duan4
锻,duàn,duan4
缎,duàn,duan4
煅,duàn,duan4
椴,duàn,duan4
簖,duàn,duan4
堆,zuī,dui1
对,duì,dui4
队,duì,dui4
兑,duì,dui4
敦,dūn,dui4
碓,duì,dui4
憝,duì,dui4
怼,duì,dui4
镦,dūn,dui4
吨,dūn,dun1
敦,dūn,dun1
蹲,dūn,dun1
墩,dūn,dun1
礅,dūn,dun1
镦,dūn,dun1
盹,dǔn,dun3
趸,dǔn,dun3
顿,dùn,dun4
盾,dùn,dun4
钝,dùn,dun4
炖,dùn,dun4
遁,dùn,dun4
沌,zhuàn,dun4
囤,tún,dun4
砘,dùn,dun4
多,duō,duo1
咄,duō,duo1
哆,duō,duo1
掇,duō,duo1
裰,duō,duo1
度,duó,duo2
夺,duó,duo2
踱,duó,duo2
铎,duó,duo2
朵,duǒ,duo3
躲,duǒ,duo3
垛,duò,duo3
哚,duǒ,duo3
缍,duǒ,duo3
舵,tuó,duo4
堕,duò,duo4
跺,duò,duo4
剁,duò,duo4
惰,duò,duo4
垛,duò,duo4
驮,tuó,duo4
沲,duò,duo4
柁,tuó,duo4
阿,ā,e1
婀,ē,e1
屙,ē,e1
额,é,e2
俄,é,e2
哦,wò,e2
鹅,é,e2
娥,é,e2
峨,é,e2
蛾,yǐ,e2
讹,é,e2
